brats_name,ED,TC,ET,WT
BraTS-GLI-01665-000_AUCseg_cc.nii.gz,0.908,0,0.7136,0.9305
BraTS-GLI-01665-000_AUCseg_t2.nii.gz,0.5271,0.0166,0.7136,0.9305
BraTS-GLI-01218-000_AUCseg_cc.nii.gz,0.5943,0.6057,0.4098,0.5934
BraTS-GLI-01218-000_AUCseg_t2.nii.gz,0.5735,0.0348,0.4098,0.5934
BraTS-GLI-01463-000_AUCseg_cc.nii.gz,0.7689,0.4552,0.7796,0.9144
BraTS-GLI-01463-000_AUCseg_t2.nii.gz,0.4363,0.3063,0.7796,0.9144
BraTS-GLI-01423-000_AUCseg_cc.nii.gz,0.1213,0,0.0913,0.1508
BraTS-GLI-01423-000_AUCseg_t2.nii.gz,0.0986,0.0023,0.0913,0.1512
BraTS-GLI-01413-000_AUCseg_cc.nii.gz,0.8487,0.139,0.9109,0.8773
BraTS-GLI-01413-000_AUCseg_t2.nii.gz,0.4395,0.021,0.9109,0.8774
BraTS-GLI-00619-000_AUCseg_cc.nii.gz,0.4024,0.0117,0.244,0.3938
BraTS-GLI-00619-000_AUCseg_t2.nii.gz,0.0512,0.0295,0.244,0.3939
BraTS-GLI-00122-000_AUCseg_cc.nii.gz,0.3156,0.0424,0.9068,0.5772
