,TC,ED,ET,WT,brats_name
BraTS2021_00772,0.8261529126213593,0.003681866805980546,0.284429791697887,0.22752609329991397,BraTS2021_00772
BraTS2021_01316,0.6014903129657228,0.8395396653149809,0.6284407144263835,0.9550441185942162,BraTS2021_01316
BraTS2021_01489,0.01680865265227907,0.23267844367398602,0.059221750138546296,0.77117452632559,BraTS2021_01489
BraTS2021_00707,0.6139240506329114,0.8787618672673176,0.8740436942976575,0.916607566209398,BraTS2021_00707
BraTS2021_01183,0.0,0.19516932961907507,0.14061984055851692,0.4051665098536198,BraTS2021_01183
BraTS2021_01033,0.0,0.3438453135861316,0.382126046824378,0.8004137685942022,BraTS2021_01033
BraTS2021_01520,0.614833791166394,0.489246651099914,0.00980392156862745,0.97603997798831,BraTS2021_01520
BraTS2021_01575,0.0,0.5181539099234466,0.19269087303460974,0.9076145635066395,BraTS2021_01575
BraTS2021_00329,0.8458692971639951,0.5182990534703489,0.8218639402280771,0.6262443207922814,BraTS2021_00329
BraTS2021_01412,0.11810512654120701,0.8287546307179741,0.44191775630092855,0.8919501535553981,BraTS2021_01412
BraTS2021_01548,0.0,0.3600097343776758,0.03155675811729172,0.841306917800787,BraTS2021_01548
BraTS2021_00796,0.5841008673879996,0.5564913981100073,0.5042997689320851,0.6929849331370137,BraTS2021_00796
BraTS2021_01219,0.15012722646310434,0.44308501377774306,0.6411934622838129,0.5638083694558005,BraTS2021_01219
BraTS2021_01197,0.9095842620408955,0.8609845062410066,0.8881876800658527,0.9209434170436318,BraTS2021_01197
BraTS2021_01306,0.0,0.23173688564338077,0.252785400204979,0.8271274970981733,BraTS2021_01306
BraTS2021_01453,0.0,0.5147685169154057,0.20294046758255002,0.7260904667350367,BraTS2021_01453
BraTS2021_01658,0.0,0.3777366181792819,0.06148467483307923,0.5428330279401925,BraTS2021_01658
BraTS2021_01269,0.1330609862853808,0.41804875333926983,0.30295241026012343,0.6476395147313692,BraTS2021_01269
BraTS2021_01220,0.9577450482478416,0.5610960468103325,0.8646779473465812,0.8073127960844871,BraTS2021_01220
BraTS2021_01418,0.5559333560013601,0.8559279296725286,0.796693824536545,0.9224270586707701,BraTS2021_01418
BraTS2021_01494,0.3162464651292468,0.07298698976170251,0.0,0.8851511778890744,BraTS2021_01494
BraTS2021_01609,0.3127624379692073,0.489182084723486,0.5137624601186077,0.958885076103661,BraTS2021_01609
BraTS2021_00376,0.0,0.14968466692944424,0.14629165506358488,0.9118156073001888,BraTS2021_00376
BraTS2021_00219,0.8124156545209177,0.10745703072134254,0.719680464778504,0.3660050890585242,BraTS2021_00219
BraTS2021_00185,0.7636800962116657,0.5902570353205909,0.7319293855991104,0.7226983636346606,BraTS2021_00185
BraTS2021_01184,0.0,0.13835800807537013,0.6748011569052784,0.6683409135851295,BraTS2021_01184
BraTS2021_00706,0.04178342141666371,0.2204955934078963,0.12048843824348361,0.5745045129519464,BraTS2021_00706
BraTS2021_01396,0.0,0.13493666904586202,0.20106172971242597,0.966660058540226,BraTS2021_01396
BraTS2021_01097,0.541813898704358,0.7904963961052647,0.8783379395787668,0.9598004781440925,BraTS2021_01097
BraTS2021_00736,0.26088401462279825,0.4163534824909557,0.5798363964729629,0.6194214168684127,BraTS2021_00736
BraTS2021_00528,0.0,0.017098023953155128,0.1465130530702292,0.09759044572620494,BraTS2021_00528
BraTS2021_00402,0.11829025844930417,0.7862034430861762,0.4976167035452144,0.9206499960427055,BraTS2021_00402
BraTS2021_01313,0.0693817571113677,0.8178556908138617,0.6121372376195606,0.9652548636775679,BraTS2021_01313
BraTS2021_00806,0.08164918970448046,0.1506346468533015,0.7070693130794368,0.892106469750718,BraTS2021_00806
BraTS2021_01187,0.03250991936516063,0.6399303287611583,0.5347339024467647,0.9398034109836488,BraTS2021_01187
BraTS2021_00824,0.007308970099667774,0.23020733416955655,0.6379157170999266,0.9542777725431075,BraTS2021_00824
BraTS2021_00077,0.19917324314167606,0.3440152008454403,0.2846856768817567,0.9041109460128777,BraTS2021_00077
BraTS2021_01345,0.0,0.009442146676081913,0.0,0.12044660947536319,BraTS2021_01345
BraTS2021_01239,0.8856010568031704,0.6882428472656635,0.8230604775881436,0.7853864427889383,BraTS2021_01239
BraTS2021_01387,0.521608040201005,0.5647440352096363,0.19439697993244587,0.8290070564516129,BraTS2021_01387
BraTS2021_01071,0.4681672025723473,0.6138002436053593,0.2770888645947212,0.864449644689667,BraTS2021_01071
BraTS2021_00320,0.098,0.577070929395178,0.499548926444939,0.6493934933766432,BraTS2021_00320
BraTS2021_00795,0.0,0.4761643190646212,0.7131114146715556,0.8871306172407764,BraTS2021_00795
BraTS2021_00051,0.06174300039434398,0.21295935799133925,0.26775476473322657,0.7800532774894908,BraTS2021_00051
BraTS2021_00267,0.9449192782526116,0.8528491421968227,0.911865513301779,0.8942066483668029,BraTS2021_00267
BraTS2021_01452,0.0,0.0,0.0,0.0,BraTS2021_01452
BraTS2021_01260,0.7264250125702792,0.8484071981829829,0.8636018237082067,0.9098463412013325,BraTS2021_01260
BraTS2021_00834,0.5584860676501266,0.6438951178599805,0.6210072797504086,0.761201801661069,BraTS2021_00834
BraTS2021_00009,0.0,0.0,0.0,0.0,BraTS2021_00009
BraTS2021_00139,0.06177853783668234,0.5179297597042514,0.5506816834617665,0.7754099949389988,BraTS2021_00139
